DATE,BOGZ1FA643065443Q
2013-04-01,9764.0
2013-07-01,4.0
2013-10-01,700.0
2014-01-01,1148.0
2014-04-01,-112.0
2014-07-01,-176.0
2014-10-01,504.0
2015-01-01,-2072.0
2015-04-01,-220.0
2015-07-01,1516.0
2015-10-01,8.0
2016-01-01,-920.0
2016-04-01,-2232.0
2016-07-01,476.0
2016-10-01,-380.0
2017-01-01,1552.0
2017-04-01,1004.0
2017-07-01,1068.0
2017-10-01,-344.0
2018-01-01,-144.0
2018-04-01,3140.0
2018-07-01,728.0
2018-10-01,2864.0
2019-01-01,11124.0
2019-04-01,-268.0
2019-07-01,3148.0
2019-10-01,5856.0
2020-01-01,-21500.0
2020-04-01,912.0
2020-07-01,3496.0
2020-10-01,-1216.0
2021-01-01,212.0
2021-04-01,5312.0
2021-07-01,2124.0
2021-10-01,2328.0
2022-01-01,5972.0
2022-04-01,768.0
2022-07-01,-52.0
2022-10-01,-664.0
2023-01-01,-928.0
2023-04-01,-1692.0
2023-07-01,-1564.0
2023-10-01,812.0
2024-01-01,1264.0
2024-04-01,-1968.0
